nNoBorne,sStatut,sNomRue,sZoneGroupeCode,nLongitude,nLatitude,sTypeExploitation
2019,A,Décarie(Blvd),SA-SB-SC-SD,-73.679961795246882000,45.512328064181901000,Régulier Payez-Partez
2020,A,Décarie(Blvd),SA-SB-SC-SD,-73.679399252348276000,45.511980539343917000,Régulier Payez-Partez
2021,A,Décarie(Blvd),SA-SB-SC-SD,-73.677450994174123000,45.511053784962016000,Régulier Payez-Partez
2022,A,Décarie(Blvd),SA-SB-SC-SD,-73.676314621603069000,45.510342968801787000,Régulier Payez-Partez
2023,A,Décarie(Blvd),SA-SB-SC-SD,-73.675364212907851000,45.509749222312500000,Régulier Payez-Partez
2024,A,Décarie(Blvd),SA-SB-SC-SD,-73.678074872970981000,45.511154181284283000,Régulier Payez-Partez
2025,A,Décarie(Blvd),SA-SB-SC-SD,-73.677395030759811000,45.510729091963640000,Régulier Payez-Partez
2027,A,Décarie(Blvd),SA-SB-SC-SD,-73.675967284951184000,45.509814841441084000,Régulier Payez-Partez
2029,A,Laurier,PG-PL-TA-TB,-73.598130171194555000,45.517116357610078000,Régulier Payez-Partez
2033,A,Laurier,PG-PL-TA-TB,-73.597043482401617000,45.518082491938095000,Régulier Payez-Partez
2035,A,Avenue Bernard  (OUT),PL-TA-TB-TC,-73.610102957115913000,45.518670483884598000,Régulier Payez-Partez
2037,A,Avenue Bernard  (OUT),PL-TA-TB-TC,-73.609863802108038000,45.518684661673262000,Régulier Payez-Partez
2039,A,Avenue Bernard  (OUT),PL-TA-TB-TC,-73.609135807007092000,45.519504529319484000,Régulier Payez-Partez
2040,A,Avenue Bernard  (OUT),PL-TA-TB-TC,-73.608849077278521000,45.520078083761987000,Régulier Payez-Partez
2041,A,Avenue Bernard  (OUT),PL-TA-TB-TC,-73.608551212116765000,45.520160503085620000,Régulier Payez-Partez
2043,A,Avenue Bernard  (OUT),PG-PL-TA-TB,-73.607734023060488000,45.521322023936470000,Régulier Payez-Partez
2045,A,Avenue Bernard  (OUT),PG-PL-TA-TB,-73.607653709434487000,45.521163831096047000,Régulier Payez-Partez
2046,A,Avenue Bernard  (OUT),PG-PL-TA-TB,-73.607053310674161000,45.522080258978910000,Régulier Payez-Partez
2049,A,Avenue Bernard  (OUT),PG-PL-TA-TB,-73.606313138817583000,45.522664775420559000,Régulier Payez-Partez
2050,A,OUT 12 Ed.-Charles C/N (V2),PG-PL-TA-TB,-73.596633383355879000,45.517567193955678000,Régulier Payez-Partez
2051,A,OUT 13 Durocher C/E,PG-PL-TA-TB,-73.597626568390794000,45.518325994974305000,Régulier Payez-Partez
2052,A,OUT 14 Durocher C/O,PG-PL-TA-TB,-73.597707847427344000,45.518221831916797000,Régulier Payez-Partez
2053,A,OUT 15 Querbes C/O (V1),PG-PL-TA-TB,-73.598238085792687000,45.517617844998519000,Régulier Payez-Partez
2054,A,OUT 10 Bloomfield C/O,PL-TA-TB-TC,-73.608880455283810000,45.520712997632430000,Régulier Payez-Partez
2055,A,OUT 11 Champagneur C/O,PL-TA-TB-TC,-73.609868065854329000,45.520244090078620000,Régulier Payez-Partez
2056,A,OUT 17 de l'Épée C/O,PG-PL-TA-TB,-73.608438244815346000,45.521411451307941000,Régulier Payez-Partez
2057,A,OUT 7 de l'Épée C/E,PG-PL-TA-TB,-73.608306245329828000,45.521492301194627000,Régulier Payez-Partez
2058,A,OUT 9 av. Outremont C/E,PL-TA-TB-TC,-73.616453047187846000,45.522412435565606000,Régulier Payez-Partez
2059,A,OUT 18 Bloomfield C/O,PL-TA-TB-TC,-73.613557973312083000,45.522794515793095000,Régulier Payez-Partez
2060,A,OUT 8 de l'Épée C/E,PL-TA-TB-TC,-73.611910344191273000,45.523100215710301000,Régulier Payez-Partez
2064,A,Avenue Querbes  (OUT),PL-TA-TB-TC,-73.612620675005402000,45.524185862740431000,Régulier Payez-Partez
2065,A,Van Horne,PL-TA-TB-TC,-73.617666269080132000,45.517507445343398000,Régulier Payez-Partez
2068,A,Van Horne,PL-TA-TB-TC,-73.617248024239501000,45.517729987697578000,Régulier Payez-Partez
2071,A,Van Horne,PL-TA-TB-TC,-73.616175805206367000,45.519168263905073000,Régulier Payez-Partez
2072,A,Van Horne,PL-TA-TB-TC,-73.615788707910823000,45.519356587574066000,Régulier Payez-Partez
2075,A,Van Horne,PL-TA-TB-TC,-73.614643891475282000,45.520888055748195000,Régulier Payez-Partez
2076,A,Van Horne,PL-TA-TB-TC,-73.614436731896447000,45.520878050279507000,Régulier Payez-Partez
2078,A,Van Horne,PL-TA-TB-TC,-73.613687042255307000,45.521727959347118000,Régulier Payez-Partez
2079,A,Van Horne,PL-TA-TB-TC,-73.613577437133898000,45.522091684975010000,Régulier Payez-Partez
2082,A,Van Horne,PL-TA-TB-TC,-73.612479677833051000,45.523064022872646000,Régulier Payez-Partez
2083,A,Van Horne,PL-TA-TB-TC,-73.612413089395787000,45.523393279041528000,Régulier Payez-Partez
2087,A,Van Horne,PL-TA-TB-TC,-73.611133087048756000,45.524816698962617000,Régulier Payez-Partez
